loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,fico_range_low,fico_range_high,earliest_cr_line
6000.0,6000.0, 36 months,8.67,189.88,B,B1,7 years,MORTGAGE,40000.0,Not Verified,small_business,AR,9.78,0.0,0.0,8.0,1.0,8241.0,74.2,17.0,Individual,4.0,0.0,680.0,684.0,Aug-1998
7600.0,7600.0, 36 months,6.49,232.9,A,A2,10+ years,MORTGAGE,46000.0,Not Verified,credit_card,IL,11.97,0.0,0.0,6.0,0.0,3194.0,39.0,21.0,Individual,2.0,0.0,660.0,664.0,Aug-1998
21000.0,21000.0, 60 months,14.99,499.48,C,C5,10+ years,MORTGAGE,275000.0,Verified,small_business,NY,5.46,0.0,3.0,14.0,0.0,18017.0,49.9,33.0,Individual,2.0,0.0,705.0,709.0,Jan-1986
10700.0,10700.0, 36 months,7.69,333.78,A,A4,10+ years,MORTGAGE,80000.0,Source Verified,credit_card,MN,18.87,0.0,0.0,16.0,1.0,5599.0,49.1,32.0,Individual,3.0,0.0,665.0,669.0,Jan-2002
25000.0,25000.0, 36 months,8.19,785.61,A,A5,10+ years,RENT,72730.0,Verified,other,CO,5.54,0.0,0.0,21.0,0.0,13772.0,13.7,37.0,Individual,0.0,0.0,750.0,754.0,Aug-2000
15000.0,15000.0, 60 months,14.31,351.44,C,C4,10+ years,RENT,47000.0,Source Verified,debt_consolidation,WA,20.89,0.0,0.0,15.0,0.0,15991.0,36.7,21.0,Individual,0.0,0.0,695.0,699.0,Jul-2003
9000.0,9000.0, 36 months,12.99,303.21,C,C1,10+ years,MORTGAGE,112000.0,Source Verified,credit_card,NY,24.1,0.0,2.0,19.0,0.0,38715.0,81.3,53.0,Individual,3.0,0.0,705.0,709.0,Mar-1994
15000.0,15000.0, 36 months,6.49,459.67,A,A2,5 years,MORTGAGE,87000.0,Source Verified,debt_consolidation,CO,9.86,0.0,0.0,18.0,0.0,11005.0,15.1,21.0,Individual,1.0,0.0,780.0,784.0,Jul-2000
19000.0,19000.0, 36 months,6.49,582.25,A,A2,9 years,OWN,97300.0,Source Verified,debt_consolidation,NY,21.41,0.0,0.0,12.0,0.0,33919.0,50.5,19.0,Individual,0.0,0.0,710.0,714.0,Nov-2004
4800.0,4800.0, 36 months,12.99,161.71,C,C1,1 year,RENT,21000.0,Not Verified,debt_consolidation,RI,17.94,0.0,0.0,7.0,0.0,4772.0,34.8,7.0,Individual,0.0,0.0,670.0,674.0,May-2011
15000.0,15000.0, 60 months,14.49,352.85,C,C4,6 years,RENT,155000.0,Source Verified,home_improvement,NJ,7.8,0.0,0.0,11.0,0.0,10952.0,22.9,19.0,Individual,0.0,0.0,735.0,739.0,Jan-1998
